Student Number ,Section,Age,Gender,City Address,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12 OR 4th year high school,General Weighted Average(GWA) - College 1st year 1st Semester,General Weighted Average(GWA) - College 1st year 2nd Semester,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
21-00235,BSIT-1A,19,Female,Pasig,"9,520.00 - 19,040.00",Rizal High School,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-00946,BSIT-1D,22,Female,Pasig,"38,081.00 - 60,640.00",Rizal High School,4th year high school,85 - 89,2.49 - 2.00,1.49 - 1.00,Yes,
21-00994,BSIT-1C,20,Female,Pasig,"below 9,520.00",Rizal High School,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00896,BSIT-1A,20,Female,Pasig,"below 9,520.00",Rizal High School,TVL,90 - 95,1.49 - 1.00,2.49 - 2.00,No,
21-00989,BSIT-1C,18,Male,Pasig,"9,520.00 - 19,040.00",Sta. Lucia High School,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00195,BSIT-1B,19,Male,Pasig,"below 9,520.00",Rizal High School,TVL,85 - 89,1.99  - 1.50,1.49 - 1.00,No,
21-00975,BSIT-1C,19,Male,Pasig,"below 9,520.00",Rizal High School,TVL,90 - 95,1.99  - 1.50,2.50 - 3.00,No,
2100343,BSIT-1B,19,Male,Pasig,"9,520.00 - 19,040.00",Rizal High School,TVL,96 and above,1.49 - 1.00,1.49 - 1.00,No,
21-00958,BSIT-1D,22,Male,Pasig,"below 9,520.00",Dipolog School of Fisheries,4th year high school,85 - 89,2.49 - 2.00,1.49 - 1.00,No,
21-00581,BSIT-1B,19,Male,Pasig,"9,520.00 - 19,040.00",Rizal High School,STEM,85 - 89,1.99  - 1.50,2.49 - 2.00,No,
07-0223,BSIT-1D,22,Male,Pasig,"below 9,520.00",PLP,4th year high school,81 - 84,1.99  - 1.50,below 3.00,No,
21-01081,BSIT-1D,22,Female,Pasig,"below 9,520.00",Montessori Professional College of Asia - ICT,4th year high school,90 - 95,1.99  - 1.50,below 3.00,No,
21-01012,BSIT-1C,19,Male,Pasig,"9,520.00 - 19,040.00",Rizal High School,TVL,85 - 89,1.99  - 1.50,2.49 - 2.00,No,
21-00194,BSIT-1B,19,Male,Pasig,"9,520.00 - 19,040.00",Rizal High School,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,No,
21-00065,BSIT-1B,18,Male,Pasig,"38,081.00 - 60,640.00",Arellano University - Andres Bonifacio Campus,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00066,BSIT-1A,18,Female,others,"below 9,520.00",Arellano University - Andres Bonifacio Campus,TVL,96 and above,1.49 - 1.00,1.99  - 1.50,No,
21-00386,BSIT-1A,20,Female,Pasig,"below 9,520.00",pasig catholic college ,STEM,85 - 89,1.49 - 1.00,below 3.00,Yes,
21-01052,BSIT-1A,18,Male,Pasig,"below 9,520.00",Rizal High School,TVL,85 - 89,1.99  - 1.50,1.99  - 1.50,No,
21-00011,BSIT-1A,19,Male,Pasig,"9,520.00 - 19,040.00",NINO JESUS HOUSE OF STUDIES INC.,TVL,90 - 95,2.49 - 2.00,2.49 - 2.00,No,
21-00069,BSIT-1A,19,Male,Pasig,"19,041.00 - 38,080.00",AMA,STEM,90 - 95,1.49 - 1.00,1.99  - 1.50,No,
21-0004,BSIT-1A,20,Male,Pasig,"9,520.00 - 19,040.00",University of the east,STEM,85 - 89,1.99  - 1.50,below 3.00,No,
21-00380,BSIT-1A,18,Male,Pasig,"9,520.00 - 19,040.00",Arellano University - Andres Bonifacio Campus,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,No,
21-0010,BSIT-1A,19,Female,Pasig,"below 9,520.00",Sta. Lucia High School,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,No,
21-00016,BSIT-1A,20,Female,Pasig,"below 9,520.00",Buting High School,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00193,BSIT-1A,19,Male,Pasig,"9,520.00 - 19,040.00",Rizal High School,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
29-00021,BSIT-1A,20,Female,Pasig,"below 9,520.00",Arellano University - Andres Bonifacio Campus,TVL,85 - 89,2.50 - 3.00,1.99  - 1.50,No,
